app_id,name
4570,Warhammer® 40,000: Dawn of War® - Game of the Year Edition
524220,NieR:Automata™
859580,Imperator: Rome
304050,Trove
690830,Foundation
379720,DOOM
611790,House Party
746850,Cloudpunk
640820,Pathfinder: Kingmaker - Enhanced Edition
944290,Stellaris: MegaCorp
1071870,Biped
779880,Total War: WARHAMMER II - The Queen & The Crone
718850,Age of Wonders: Planetfall
12210,Grand Theft Auto IV: Complete Edition
285900,Gang Beasts
991270,The Legend of Heroes: Trails of Cold Steel III
601150,Devil May Cry 5
627690,Idle Champions of the Forgotten Realms
1056760,Euro Truck Simulator 2 - Road to the Black Sea
595520,FINAL FANTASY XII THE ZODIAC AGE
674940,Stick Fight: The Game
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition
492720,Tropico 6
532210,Life is Strange 2
262060,Darkest Dungeon®
899770,Last Epoch
395180,Arma 3 Apex
925100,The Elder Scrolls Online - Elsweyr
520950,DRIFT21
307960,IL-2 Sturmovik: Battle of Stalingrad
953940,Jurassic World Evolution: Secrets of Dr Wu
773790,Ostriv
418460,Rising Storm 2: Vietnam
208650,Batman™: Arkham Knight
1150640,Yu-Gi-Oh! Legacy of the Duelist : Link Evolution
268910,Cuphead
712100,Total War Saga: THRONES OF BRITANNIA
489630,Warhammer 40,000: Gladius - Relics of War
211820,Starbound
242050,Assassin’s Creed® IV Black Flag™
214490,Alien: Isolation
1209110,Total War: THREE KINGDOMS - A World Betrayed
287700,METAL GEAR SOLID V: THE PHANTOM PAIN
530070,Train Sim World® 2020
1089090,ONE PIECE: PIRATE WARRIORS 4
973760,Thronebreaker: The Witcher Tales
982970,Kerbal Space Program: Breaking Ground Expansion
642280,Grim Dawn - Ashes of Malmouth Expansion
383840,Nimbatus - The Space Drone Constructor
460930,Tom Clancy's Ghost Recon® Wildlands
503940,Railway Empire
502500,ACE COMBAT™ 7: SKIES UNKNOWN
1248380,Deadside Supporter Pack
10180,Call of Duty®: Modern Warfare® 2
1161490,MotoGP™20
547502,Cities: Skylines - Mass Transit
702320,March of Empires
325610,Total War: ATTILA
1041320,Lords Mobile
495910,Dungeon Fighter Online
228280,Baldur's Gate: Enhanced Edition
996470,eFootball  PES 2020
339600,VEGA Conflict
988910,Super Mega Baseball 3
307690,Sleeping Dogs: Definitive Edition
56400,Warhammer 40,000: Dawn of War II: Retribution
588650,Dead Cells
897670,Grim Dawn - Forgotten Gods Expansion
10090,Call of Duty: World at War
704850,Thief Simulator
1063730,New World
794260,Outward
573090,Stormworks: Build and Rescue
849260,Shadow of the Tomb Raider - Deluxe Extras
718560,Scythe: Digital Edition
799960,Wizard101
512035,Civilization VI - Persia and Macedon Civilization & Scenario Pack
1033060,Warhammer: Vermintide 2 - Winds of Magic
1072040,Panzer Corps 2
1045980,Stellaris: Ancient Relics Story Pack
108200,Ticket to Ride
369150,Cities: Skylines - After Dark
571740,Golf It!
4700,Total War: MEDIEVAL II – Definitive Edition
861650,Session: Skateboarding Sim Game
611670,The Elder Scrolls V: Skyrim VR
32470,STAR WARS™ Empire at War - Gold Pack
1265640,Conan Exiles - Architects of Argos Pack
646910,The Crew™ 2
899440,GOD EATER 3
382310,Eco
334230,Town of Salem
441340,Elite Dangerous: Horizons Season Pass
513710,SCUM
356190,Middle-earth™: Shadow of War™
392110,Endless Space® 2 - Digital Deluxe Edition
702350,Expansion - Hearts of Iron IV: Waking the Tiger
523660,HYPERCHARGE: Unboxed
292030,378649,378648,The Witcher 3: Wild Hunt - Game of the Year Edition
400,Portal
109600,Neverwinter
1283090,Deep Rock Galactic - Dark Future Pack
716670,Stellaris: Apocalypse
1284410,GWENT: The Witcher Card Game
732690,FIVE NIGHTS AT FREDDY'S: HELP WANTED
253230,A Hat in Time
1283091,Deep Rock Galactic - MegaCorp Pack
1069640,This Land Is My Land
202970,Call of Duty®: Black Ops II
42680,Call of Duty®: Modern Warfare® 3
978520,Legend of Keepers: Career of a Dungeon Master
12120,Grand Theft Auto: San Andreas
617830,SUPERHOT VR
291650,Pillars of Eternity
641320,Cooking Simulator
48700,Mount & Blade: Warband
544730,Catan Universe
1140000,Stellaris: Lithoids Species Pack
110800,L.A. Noire
310950,Street Fighter V
293760,Automation - The Car Company Tycoon Game
553280,Stellaris: Utopia
606880,GreedFall
527430,Warhammer 40,000: Inquisitor - Martyr
534331,Total War: WARHAMMER - Realm of The Wood Elves
1273971,Mortal Kombat 11: Aftermath
257420,Serious Sam 4
1143840,Hunt: Showdown - Legends of the Bayou
642750,Stellaris: Synthetic Dawn Story Pack
872410,ROMANCE OF THE THREE KINGDOMS XIV
614580,Cities: Skylines - Green Cities
944071,Cities: Skylines - Campus
1076160,Command: Modern Operations
1057240,Crucible
704450,Neverwinter Nights: Enhanced Edition
244450,Men of War: Assault Squad 2
1168030,Project Winter - Blackout
319630,Life is Strange - Episode 1
283740,Kerbal Space Program: Making History Expansion
220240,Far Cry 3
305620,The Long Dark
512034,Civilization VI - Australia Civilization & Scenario Pack
619150,while True: learn()
751440,VR Kanojo / VRカノジョ
637090,BATTLETECH
1090850,DCS: F-16C Viper
246900,Viscera Cleanup Detail
767560,War Robots
1104880,American Truck Simulator - Utah
1069650,Ultimate Admiral: Age of Sail
261570,Ori and the Blind Forest
466240,Deceit
239160,Thief
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4
1133000,X4: Split Vendetta
236690,Blood Bowl 2
816020,JUMP FORCE
979120,Autonauts
793460,112 Operator
228200,Company of Heroes
455040,Total War: WARHAMMER - Norsca
625960,Stoneshard
911430,Good Company
219740,Don't Starve
599140,Graveyard Keeper
246620,Plague Inc: Evolved
20900,The Witcher: Enhanced Edition Director's Cut
715194,Cities: Skylines - Industries
373420,Divinity: Original Sin - Enhanced Edition
604240,Shotgun Farmers
6060,Star Wars: Battlefront 2 (Classic, 2005)
424370,Wolcen: Lords of Mayhem
454650,DRAGON BALL XENOVERSE 2
828790,Warhammer: Vermintide 2 - Shadows Over Bögenhafen
960690,One Step From Eden
921570,OCTOPATH TRAVELER™
1121560,Atelier Ryza: Ever Darkness & the Secret Hideout
960831,HITMAN™ - GOTY Legacy Pack
1146960,Frostpunk: The Last Autumn
1042550,Digimon Story Cyber Sleuth: Complete Edition
704270,Generation Zero
8980,Borderlands Game of the Year
442070,Drawful 2
32370,STAR WARS™ - Knights of the Old Republic™
257350,Baldur's Gate II: Enhanced Edition
342180,Arizona Sunshine
849261,Shadow of the Tomb Raider - Croft Edition Extras
236870,HITMAN™
235580,Sid Meier's Civilization V: Brave New World
215100,Ragnarok Online
751780,Forager
1090630,Granblue Fantasy: Versus
17390,SPORE™
212500,The Lord of the Rings Online™
1092880,Planet Coaster: Ghostbusters™
323370,TERA
362490,Exanima
500,Left 4 Dead
1150190,Street Fighter V - Champion Edition Upgrade Kit
844810,Stellaris: Distant Stars Story Pack
544750,SOULCALIBUR VI
383120,Empyrion - Galactic Survival
386940,Ultimate Chicken Horse
351510,Quiplash
644930,They Are Billions
567640,Danganronpa V3: Killing Harmony
367500,Dragon's Dogma: Dark Arisen
424840,Little Nightmares
223850,3DMark
404014,Total War: WARHAMMER - The King and the Warlord
209650,Call of Duty®: Advanced Warfare - Gold Edition
528230,SYNTHETIK: Legion Rising
527100,Star Trek™: Bridge Crew
374040,Portal Knights
973580,Sniper Ghost Warrior Contracts
1256670,Library Of Ruina
470310,TROUBLESHOOTER: Abandoned Children
759740,RIDE 3
559210,Rakuen
55230,Saints Row: The Third
240720,Getting Over It with Bennett Foddy
274920,FaceRig
211500,RaceRoom Racing Experience
968970,Lumberjack's Dynasty
236110,Dungeon Defenders II
844870,KurtzPel
108600,Project Zomboid
24780,SimCity™ 4 Deluxe Edition
1104380,The Room VR: A Dark Matter
501300,What Remains of Edith Finch
1147690,NGU IDLE
1154760,Total War: THREE KINGDOMS - Mandate of Heaven
1118012,Monster Hunter World: Iceborne Deluxe Kit
3590,Plants vs. Zombies GOTY Edition
8870,BioShock Infinite
281610,Homeworld: Deserts of Kharak
34030,Total War: NAPOLEON – Definitive Edition
995780,Planet Coaster - Magnificent Rides Collection
877200,Zero Caliber VR
289130,Endless Legend™ - Emperor Edition
204360,Castle Crashers®
512033,Civilization VI - Poland Civilization & Scenario Pack
496240,Onward
596970,SUNLESS SKIES
1162520,Richman10
1173900,Conan Exiles - Riders of Hyboria Pack
204880,Sins of a Solar Empire: Rebellion®
681280,Descenders
638970,Yakuza 0
914620,Mist Survival
2600,Vampire: The Masquerade - Bloodlines
673880,Warhammer 40,000: Mechanicus
1015160,American Truck Simulator - Washington
442120,Pinball FX3
588030,Derail Valley
570660,The Binding of Isaac: Afterbirth+
834910,ATLAS
1135280,Dead by Daylight - Stranger Things Chapter
312660,Sniper Elite 4
518910,Stellaris: Leviathans Story Pack
261640,Borderlands: The Pre-Sequel
290340,Armello
383980,Rivals of Aether
574980,Them's Fightin' Herds
573160,Space Engineers Deluxe
515191,Cities: Skylines - Natural Disasters
1143650,Prison Architect - Psych Ward: Warden's Edition
727130,Between the Stars
221910,The Stanley Parable
401920,The Binding of Isaac: Afterbirth
368500,Assassin's Creed® Syndicate
592260,Dungeon Painter Studio
226860,Galactic Civilizations III
253710,theHunter Classic
1097840,Gears 5
245810,DCS: A-10C Warthog
1107760,Jurassic World Evolution: Herbivore Dinosaur Pack
465240,Serious Sam VR: The Last Hope
821090,Planet Coaster - Studios Pack
1061350,Planet Coaster - Classic Rides Collection
230290,Universe Sandbox
1174370,Rust - Instruments
626690,Sword Art Online: Fatal Bullet
389430,Knight Online
635260,CarX Drift Racing Online
335300,DARK SOULS™ II: Scholar of the First Sin
431730,Aseprite
927380,Yakuza Kiwami 2
7940,Call of Duty® 4: Modern Warfare®
252530,OMSI 2: Steam Edition
34270,SEGA Mega Drive and Genesis Classics
314650,SpaceEngine
701160,Kingdom Two Crowns
760060,Mutant Year Zero: Road to Eden
919390,Conan Exiles - The Savage Frontier Pack
238010,Deus Ex: Human Revolution - Director's Cut
537800,Bomber Crew
257510,The Talos Principle
1030840,Mafia: Definitive Edition
200710,Torchlight II
756010,Stellaris: Humanoids Species Pack
10680,Aliens vs. Predator™
209000,Batman™: Arkham Origins
817550,Jurassic World Evolution - Deluxe Dinosaur Pack
1016920,Unrailed!
413420,Danganronpa 2: Goodbye Despair
785300,XCOM 2: War of the Chosen - Tactical Legacy Pack
866800,The Walking Dead: The Final Season
636480,Ravenfield
387020,Brawlhalla - All Legends (Current and Future)
972370,Conan Exiles - Seekers of the Dawn Pack
1165870,Mahou Arms
414340,Hellblade: Senua's Sacrifice
802640,Deep Rock Galactic - Original Soundtrack Volume I + II
1194110,Substance Painter 2020
573100,Battlefleet Gothic: Armada 2
362960,Tyranny
710490,Planet Coaster - Spooky Pack
1061090,Jump King
847370,Sunset Overdrive
953660,Planet Coaster - World's Fair Pack
532790,Vampire: The Masquerade® - Bloodlines™ 2
516750,My Summer Car
410340,Liftoff: FPV Drone Racing
298110,Far Cry® 4
304212,Euro Truck Simulator 2 - Scandinavia
1060210,Disaster Report 4: Summer Memories
736260,Baba Is You
800370,American Truck Simulator - Oregon
206480,Dungeons & Dragons Online®
24980,Mass Effect 2
249320,DCS: Flaming Cliffs 3
1134010,Conan Exiles - Blood and Sand Pack
438040,Shakes and Fidget
1259360,Europa Universalis IV: Emperor
743450,Monster Prom
606800,Startup Company
366090,Colony Survival
1019310,VirtuaVerse
1127840,Landlord's Super
512032,Civilization VI - Vikings Scenario Pack
70,Half-Life
640340,Serious Sam: Tormental
365360,Battle Brothers
